,importance
days_live,0.09835007537139094
listing_age_bucket,0.09711375077168925
velocity_x_no_salary,0.07668419276453381
employer_repost_count,0.06905754444594285
desc_per_day,0.06801917912144592
data_quality_score,0.06275341110211964
description_length_words,0.057899502246248145
posting_velocity_per_week,0.05681380074766994
description_lexical_diversity,0.0521313096492281
portal_ghost_baseline,0.0503786210155571
company_data_completeness_score,0.0477406869260834
keyword_stuffing_ratio,0.042412149696594015
keyword_match_pct,0.04089012815110526
salary_disclosed_num,0.03703099289052273
applications_per_day,0.03049852027023689
city_tier,0.029626875544871145
experience_range,0.025941506110604282
city_opportunity_score,0.02095788943194537
salary_range_ratio,0.015825810763967045
contact_bypass_flag,0.009591866975525831
salary_vs_market_gap,0.0059906172990486185
remote_ambiguity_flag,0.0026720668580931233
urgency_language_score,0.001077808340882015
cross_platform_duplicate_flag,0.0004868753722836295
glassdoor_salary_combo,5.481813241101863e-05
